customer_id,age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status,province,monthly_income,stressed_interest_rate
CUST100000,40,Employed,17.2,25579,692,5.3,895,10820,0,0,0,Credit Card,Business,600,17.02,42.3,0.023,0.008,1,Ontario,2131.5833333333335,19.02
CUST100001,33,Employed,7.3,43087,627,3.5,169,16550,0,1,0,Personal Loan,Home Improvement,53300,14.1,38.4,1.237,0.412,0,Ontario,3590.5833333333335,16.1
CUST100002,42,Student,1.1,20840,689,8.4,17,7852,0,0,0,Credit Card,Debt Consolidation,2100,18.33,37.7,0.101,0.034,1,Ontario,1736.6666666666667,20.33
CUST100003,53,Student,0.5,29147,692,9.8,1480,11603,0,1,0,Credit Card,Business,2900,18.74,39.800000000000004,0.099,0.033,1,Ontario,2428.9166666666665,20.74
CUST100004,32,Employed,12.5,63657,630,7.2,209,12424,0,0,0,Personal Loan,Education,99600,13.92,19.5,1.565,0.522,1,Ontario,5304.75,15.92
CUST100005,32,Employed,13.4,32015,570,7.3,253,1120,0,0,2,Credit Card,Personal,37000,22.92,3.5000000000000004,1.156,0.385,0,Ontario,2667.9166666666665,24.92
CUST100006,53,Employed,22.9,44989,674,11.1,19667,19298,0,0,0,Personal Loan,Home Improvement,45600,11.02,42.9,1.014,0.338,1,Ontario,3749.0833333333335,13.02
CUST100007,44,Self-Employed,4.2,80603,625,18.5,830,38382,0,0,0,Credit Card,Personal,51700,19.42,47.599999999999994,0.641,0.214,1,British Columbia,6716.916666666667,21.42
CUST100008,29,Employed,5.9,28416,569,2.6,1334,22668,1,2,0,Credit Card,Education,33800,22.72,79.80000000000001,1.189,0.396,0,British Columbia,2368.0,24.72
CUST100009,41,Employed,7.0,70717,638,21.5,1578,21394,0,1,0,Credit Card,Personal,70000,19.35,30.3,0.99,0.33,1,Ontario,5893.083333333333,21.35
CUST100010,29,Employed,5.0,15000,657,8.9,2105,3866,0,0,0,Line of Credit,Education,5000,9.24,25.8,0.333,0.111,1,Ontario,1250.0,11.24
CUST100011,29,Student,1.3,17029,668,4.3,215,5592,0,0,0,Line of Credit,Personal,6300,9.69,32.800000000000004,0.37,0.123,1,British Columbia,1419.0833333333333,11.69
CUST100012,37,Employed,1.3,49084,580,11.3,1289,21106,0,0,1,Line of Credit,Medical,40800,13.12,43.0,0.831,0.277,0,Ontario,4090.3333333333335,15.12
CUST100013,18,Employed,0.0,55958,681,1.4,378,14090,0,0,0,Credit Card,Education,18000,17.78,25.2,0.322,0.107,1,Ontario,4663.166666666667,19.78
CUST100014,18,Self-Employed,1.0,99020,561,1.6,538,13733,0,1,1,Credit Card,Medical,35700,21.57,13.900000000000002,0.361,0.12,0,British Columbia,8251.666666666666,23.57
CUST100015,28,Employed,0.4,59609,654,2.6,881,9183,0,0,0,Credit Card,Debt Consolidation,19500,17.33,15.4,0.327,0.109,1,Ontario,4967.416666666667,19.33
CUST100016,22,Self-Employed,1.0,82604,605,3.5,9216,16116,0,0,0,Line of Credit,Personal,50000,12.57,19.5,0.605,0.202,1,Ontario,6883.666666666667,14.57
CUST100017,38,Employed,5.3,53356,671,19.8,6339,23085,0,1,0,Credit Card,Debt Consolidation,18700,17.58,43.3,0.35,0.117,1,Ontario,4446.333333333333,19.58
CUST100018,24,Employed,5.4,18675,531,3.3,11,3280,0,2,0,Credit Card,Medical,9500,22.49,17.599999999999998,0.509,0.17,0,British Columbia,1556.25,24.49
CUST100019,18,Self-Employed,1.0,55309,597,1.5,346,2930,0,0,0,Personal Loan,Debt Consolidation,50400,16.13,5.3,0.911,0.304,0,British Columbia,4609.083333333333,18.13
CUST100020,52,Employed,31.3,75932,695,2.1,1283,10655,0,0,0,Personal Loan,Home Improvement,96000,11.05,14.000000000000002,1.264,0.421,1,Ontario,6327.666666666667,13.05
CUST100021,32,Employed,1.3,109702,720,10.4,2790,42534,0,0,0,Credit Card,Personal,4000,17.41,38.800000000000004,0.036,0.012,1,Ontario,9141.833333333334,19.41
CUST100022,35,Employed,16.9,68117,698,16.3,549,20450,0,0,0,Credit Card,Home Improvement,16400,17.7,30.0,0.241,0.08,1,Ontario,5676.416666666667,19.7
CUST100023,18,Student,0.3,33556,574,1.5,91,10727,0,1,1,Credit Card,Business,3400,21.47,32.0,0.101,0.034,0,British Columbia,2796.3333333333335,23.47
CUST100024,28,Self-Employed,5.4,59899,567,3.2,20476,27393,0,0,0,Line of Credit,Medical,31700,14.98,45.7,0.529,0.176,0,Ontario,4991.583333333333,16.98
CUST100025,36,Employed,6.8,55609,651,16.9,1896,16140,0,0,0,Personal Loan,Education,69400,12.97,28.999999999999996,1.248,0.416,1,Ontario,4634.083333333333,14.97
CUST100026,21,Employed,2.9,31219,656,1.0,54,5261,0,0,0,Credit Card,Business,19400,17.94,16.900000000000002,0.621,0.207,1,British Columbia,2601.5833333333335,19.94
CUST100027,39,Employed,0.0,43085,579,3.5,206,359,0,4,1,Personal Loan,Medical,82800,15.68,0.8,1.922,0.641,0,British Columbia,3590.4166666666665,17.68
CUST100028,27,Employed,6.2,23613,594,2.9,320,3017,1,1,0,Personal Loan,Debt Consolidation,26400,15.68,12.8,1.118,0.373,0,Ontario,1967.75,17.68
CUST100029,31,Employed,12.9,21376,632,8.0,3388,5083,0,1,1,Line of Credit,Education,6200,12.25,23.799999999999997,0.29,0.097,1,British Columbia,1781.3333333333333,14.25
CUST100030,27,Employed,6.2,32073,619,8.0,274,6458,0,0,0,Personal Loan,Medical,50600,13.03,20.1,1.578,0.526,1,British Columbia,2672.75,15.03
CUST100031,57,Self-Employed,21.5,38484,696,10.5,4316,18674,0,1,0,Line of Credit,Medical,18500,9.95,48.5,0.481,0.16,0,Ontario,3207.0,11.95
CUST100032,34,Employed,10.7,27886,623,6.8,110,2991,0,1,0,Personal Loan,Home Improvement,45300,13.91,10.7,1.624,0.541,0,Ontario,2323.8333333333335,15.91
CUST100033,22,Employed,3.9,36867,607,2.8,82,7111,0,1,0,Credit Card,Home Improvement,44700,20.18,19.3,1.212,0.404,0,British Columbia,3072.25,22.18
CUST100034,44,Employed,18.7,92711,671,0.8,3851,14546,0,0,0,Personal Loan,Personal,100000,12.14,15.7,1.079,0.36,1,Ontario,7725.916666666667,14.14
CUST100035,20,Employed,1.0,21651,703,1.7,52,12414,0,1,0,Credit Card,Personal,30000,16.23,57.3,1.386,0.462,0,Ontario,1804.25,18.23
CUST100036,37,Employed,4.7,48193,523,2.7,257,2464,0,0,0,Personal Loan,Education,64500,16.85,5.1,1.338,0.446,0,British Columbia,4016.0833333333335,18.85
CUST100037,18,Employed,0.0,18730,618,0.4,0,3908,0,0,0,Personal Loan,Debt Consolidation,7000,13.76,20.9,0.374,0.125,0,British Columbia,1560.8333333333333,15.76
CUST100038,19,Employed,0.2,38696,546,0.9,36,10868,0,0,0,Credit Card,Education,2400,21.08,28.1,0.062,0.021,1,British Columbia,3224.6666666666665,23.08
CUST100039,37,Employed,1.2,55961,704,1.8,131,4799,0,0,0,Line of Credit,Home Improvement,27000,8.94,8.6,0.482,0.161,1,Ontario,4663.416666666667,10.94
CUST100040,43,Employed,19.1,36496,589,18.2,463,7873,0,1,0,Credit Card,Personal,44300,22.33,21.6,1.214,0.405,0,British Columbia,3041.3333333333335,24.33
CUST100041,37,Employed,7.0,54983,744,7.2,399,6316,0,0,1,Personal Loan,Education,100000,10.27,11.5,1.819,0.606,1,Ontario,4581.916666666667,12.27
CUST100042,33,Employed,3.2,15000,688,7.6,459,2587,0,0,0,Credit Card,Home Improvement,6000,18.5,17.2,0.4,0.133,1,Ontario,1250.0,20.5
CUST100043,31,Employed,10.0,51632,677,11.0,3117,32886,0,0,0,Credit Card,Personal,59700,18.54,63.7,1.156,0.385,0,Ontario,4302.666666666667,20.54
CUST100044,18,Employed,0.0,17747,666,0.1,2,3846,0,0,0,Credit Card,Personal,24300,17.69,21.7,1.369,0.456,0,Ontario,1478.9166666666667,19.69
CUST100045,26,Self-Employed,1.3,33606,675,1.4,258,3586,0,1,1,Personal Loan,Personal,23700,11.73,10.7,0.705,0.235,0,Ontario,2800.5,13.73
CUST100046,29,Employed,4.6,23699,646,3.2,105,5021,0,1,0,Credit Card,Education,27100,20.09,21.2,1.144,0.381,1,British Columbia,1974.9166666666667,22.09
CUST100047,47,Student,0.0,15000,698,5.1,154,3399,0,0,0,Personal Loan,Home Improvement,25400,11.74,22.7,1.693,0.564,1,Ontario,1250.0,13.74
CUST100048,39,Employed,17.4,23955,542,4.6,422,4766,0,0,0,Credit Card,Business,33300,21.39,19.900000000000002,1.39,0.463,0,Ontario,1996.25,23.39
CUST100049,18,Employed,0.0,48420,636,0.7,12,20570,0,0,0,Line of Credit,Business,41600,12.71,42.5,0.859,0.286,0,British Columbia,4035.0,14.71
CUST100050,38,Employed,7.8,47368,659,1.1,15,10330,0,0,0,Line of Credit,Education,37600,9.95,21.8,0.794,0.265,1,Ontario,3947.3333333333335,11.95
CUST100051,30,Employed,10.8,60218,719,10.8,1120,20999,0,1,0,Line of Credit,Debt Consolidation,40800,9.41,34.9,0.678,0.226,1,Ontario,5018.166666666667,11.41
CUST100052,26,Employed,4.7,49924,675,6.4,333,7730,0,0,0,Credit Card,Debt Consolidation,47000,18.99,15.5,0.941,0.314,1,Ontario,4160.333333333333,20.99
CUST100053,42,Employed,19.3,49881,620,17.9,17865,8324,0,0,0,Credit Card,Medical,10000,20.46,16.7,0.2,0.067,1,Ontario,4156.75,22.46
CUST100054,47,Self-Employed,4.2,172243,820,3.3,85551,10893,0,0,0,Line of Credit,Business,41700,6.31,6.3,0.242,0.081,1,Ontario,14353.583333333334,8.309999999999999
CUST100055,46,Self-Employed,3.6,148299,734,0.1,138,69079,0,0,0,Credit Card,Education,70000,15.86,46.6,0.472,0.157,1,Ontario,12358.25,17.86
CUST100056,24,Employed,2.1,34736,594,0.4,29,2283,0,2,0,Credit Card,Education,43600,22.43,6.6000000000000005,1.255,0.418,0,Ontario,2894.6666666666665,24.43
CUST100057,31,Employed,8.8,46820,550,5.9,316,17814,0,0,0,Credit Card,Business,9700,21.29,38.0,0.207,0.069,0,British Columbia,3901.6666666666665,23.29
CUST100058,38,Employed,3.3,32568,640,10.8,3073,7636,1,1,0,Personal Loan,Education,11400,14.71,23.400000000000002,0.35,0.117,0,British Columbia,2714.0,16.71
CUST100059,46,Employed,1.8,50953,709,17.9,9578,9420,0,1,0,Line of Credit,Debt Consolidation,16300,7.82,18.5,0.32,0.107,1,British Columbia,4246.083333333333,9.82
CUST100060,29,Employed,10.7,35025,607,0.4,6,15760,0,2,0,Credit Card,Business,26100,19.02,45.0,0.745,0.248,0,Ontario,2918.75,21.02
CUST100061,32,Employed,4.1,25546,570,7.4,18406,3482,0,0,0,Personal Loan,Education,20200,15.89,13.600000000000001,0.791,0.264,1,British Columbia,2128.8333333333335,17.89
CUST100062,21,Employed,1.9,47404,778,0.5,140,16632,0,0,0,Credit Card,Debt Consolidation,47400,15.29,35.099999999999994,1.0,0.333,1,Ontario,3950.3333333333335,17.29
CUST100063,20,Employed,1.3,26639,485,1.5,207,10305,0,0,0,Personal Loan,Home Improvement,16000,15.16,38.7,0.601,0.2,0,Ontario,2219.9166666666665,17.16
CUST100064,44,Employed,1.0,36482,681,1.7,47,3615,0,0,0,Line of Credit,Education,23700,9.97,9.9,0.65,0.217,1,Ontario,3040.1666666666665,11.97
CUST100065,51,Employed,18.7,34543,592,30.0,52072,6288,0,0,1,Credit Card,Business,23000,22.49,18.2,0.666,0.222,0,British Columbia,2878.5833333333335,24.49
CUST100066,34,Employed,3.2,87591,681,7.8,325,31229,0,1,0,Credit Card,Personal,21000,17.93,35.699999999999996,0.24,0.08,1,Ontario,7299.25,19.93
CUST100067,47,Employed,2.6,34455,774,24.5,3635,7696,0,1,0,Credit Card,Education,46700,14.68,22.3,1.355,0.452,1,British Columbia,2871.25,16.68
CUST100068,39,Employed,8.3,37923,595,18.5,895,20363,0,0,0,Personal Loan,Debt Consolidation,48300,16.66,53.7,1.274,0.425,0,Ontario,3160.25,18.66
CUST100069,27,Employed,7.1,61606,675,4.3,1039,4719,0,0,0,Line of Credit,Home Improvement,23400,10.67,7.7,0.38,0.127,1,Ontario,5133.833333333333,12.67
CUST100070,39,Employed,20.4,31003,702,0.9,104,6705,0,0,0,Line of Credit,Personal,8600,8.1,21.6,0.277,0.092,1,British Columbia,2583.5833333333335,10.1
CUST100071,53,Employed,17.3,57938,697,10.0,8553,38346,0,0,0,Credit Card,Personal,59100,18.67,66.2,1.02,0.34,0,British Columbia,4828.166666666667,20.67
